active_through,candidate_id,candidate_inactive,candidate_status,cycles,district,district_number,election_districts,election_years,federal_funds_flag,first_file_date,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,last_file_date,load_date,name,office,office_full,party,party_full,state
2026,S6MN00523,False,N,[2026],00,0.0,['00'],[2026],False,2025-11-07,False,,O,Open seat,2025-11-07,2025-11-07,2025-11-13T21:02:32,"BROOKS, CHRISTOPHER JARRED",S,Senate,REP,REPUBLICAN PARTY,MN
2026,S6SC04270,False,C,[2026],00,0.0,['00'],[2026],False,2025-07-09,True,,C,Challenger,2025-10-15,2025-10-15,2026-02-09T20:58:28,"BROWN, BRANDON",S,Senate,DEM,DEMOCRATIC PARTY,SC
2026,S6NC00373,False,C,[2026],00,0.0,['00'],[2026],False,2025-03-08,True,,O,Open seat,2025-06-09,2025-06-09,2025-06-30T20:58:43,"BROWN, DON",S,Senate,REP,REPUBLICAN PARTY,NC
2026,S6TX00594,False,N,[2026],00,0.0,['00'],[2026],False,2026-02-22,False,,C,Challenger,2026-03-20,2026-03-20,2026-03-20T21:14:19,"BROWN GAINES, JENNIFER TAWANDA DR. @ LAW DISTRICT 3",S,Senate,CMD,COMMANDMENTS PARTY,TX
2026,S6VA00234,False,N,[2026],00,0.0,['00'],[2026],False,2026-05-10,False,,,,2026-05-10,2026-05-10,2026-05-10T20:56:55,"BROWN, PAMELA MS.",S,Senate,DEM,DEMOCRATIC PARTY,VA
2026,S6NH00166,False,C,[2026],00,0.0,['00'],[2026],False,2025-07-01,True,,O,Open seat,2025-07-01,2025-07-01,2025-10-18T21:00:34,"BROWN, SCOTT P.",S,Senate,REP,REPUBLICAN PARTY,NH
2026,S6OH00163,False,C,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024, 2026]",00,0.0,"['00', '00', '00', '00', '00']","[2006, 2012, 2018, 2024, 2026]",False,2005-10-18,True,,C,Challenger,2026-04-15,2026-04-15,2026-04-15T21:16:15,"BROWN, SHERROD",S,Senate,DEM,DEMOCRATIC PARTY,OH
2026,S4TX00888,False,C,"[2024, 2026]",00,0.0,"['00', '00']","[2024, 2026]",False,2024-03-06,True,,C,Challenger,2025-12-04,2025-12-04,2026-02-09T20:58:28,"BROWN, THEODORE E. JR.",S,Senate,LIB,LIBERTARIAN PARTY,TX
2026,S2SC00145,False,N,"[2022, 2024, 2026]",00,0.0,"['00', '00']","[2022, 2026]",False,2022-03-08,True,,C,Challenger,2022-07-05,2022-07-05,2025-01-10T21:01:11,"BRUCE, CATHERINE FLEMING MS.",S,Senate,DEM,DEMOCRATIC PARTY,SC
2026,S6OK04254,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-16,False,,C,Challenger,2026-03-16,2026-03-16,2026-03-29T21:12:30,"BUCKNER, WILLIAM SEAN",S,Senate,REP,REPUBLICAN PARTY,OK
2026,S6NE00145,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-03,True,,C,Challenger,2026-03-03,2026-03-03,2026-03-06T21:23:49,"BURBANK, CINDY",S,Senate,DE,,NE
2026,S6RI00270,False,C,[2026],00,0.0,['00'],[2026],False,2025-04-23,True,,C,Challenger,2025-04-23,2025-04-23,2025-10-15T21:01:51,"BURBRIDGE, CONNOR",S,Senate,DEM,DEMOCRATIC PARTY,RI
2026,S6LA00607,False,N,[2026],00,0.0,['00'],[2026],False,2025-11-08,False,,C,Challenger,2026-04-09,2026-04-09,2025-11-13T21:02:32,"BURKE, TRACIE",S,Senate,DEM,DEMOCRATIC PARTY,LA
2026,S6GA00457,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-02,False,,C,Challenger,2026-03-02,2026-03-02,2026-03-06T21:23:49,"BURTON, MARQUETT DAVON",S,Senate,REP,REPUBLICAN PARTY,GA
2026,S6AL00500,False,C,[2026],00,0.0,['00'],[2026],False,2026-01-20,True,,O,Open seat,2026-01-20,2026-01-20,2026-04-08T21:14:48,"BURTON, MATTHEW SETH",S,Senate,REP,REPUBLICAN PARTY,AL
2026,S6IL00565,False,C,[2026],00,0.0,['00'],[2026],False,2025-06-10,True,,O,Open seat,2025-06-10,2025-06-10,2026-03-21T21:13:21,"BUSTOS, AWISI",S,Senate,DEM,DEMOCRATIC PARTY,IL
2026,S6WY00217,False,C,[2026],00,0.0,['00'],[2026],False,2026-02-11,True,,C,Challenger,2026-02-11,2026-02-11,2026-04-18T21:13:41,"BYRD, JAMES WILLARD MR.",S,Senate,DEM,DEMOCRATIC PARTY,WY
