candidate_id,receipts,disbursements,cash_on_hand,individual_contributions,pac_contributions
S4MN00486,0.0,550.0,-136.35,0.0,0.0
S6AR00181,3086.9,3186.9,0.0,2086.9,0.0
S6IL00581,138950.63,147814.81,-8864.18,127616.84,388.0
S6IA00256,1432562.28,1432459.9,102.38,1397235.36,7800.0
S4NE00090,11123.65,208769.71,2273266.96,0.0,0.0
S6CO00457,0.0,0.0,0.0,0.0,0.0
S6KS00288,177173.5,47590.34,129583.16,164923.5,12250.0
S6TX00321,2500.0,3106.71,0.0,0.0,0.0
S6IA00264,213415.45,205271.15,8144.3,199410.45,11005.0
S6IL00698,5200.0,0.0,5200.0,5000.0,0.0
S6MN00457,1102851.14,879423.21,223427.93,1018869.59,30309.31
S6MI00434,76083.76,69528.6,6555.16,27414.6,0.0
S6LA00573,1202191.0,1191584.43,10606.57,127191.0,0.0
S0NH00219,170979.14,706695.58,920368.88,101435.84,54526.58
S6IL00599,4166.86,11760.93,-7594.07,4166.86,0.0
S6AR00199,1589764.37,1011034.49,578729.88,1584211.27,3510.0
S4WV00357,498538.98,490415.75,8123.23,494272.1,0.0
S6DE00198,100728.71,15021.49,85707.22,728.71,0.0
S6TX00586,11615.57,8020.04,3695.53,6615.57,0.0
S6WY00191,2165.0,425.57,2618.6,2165.0,0.0
S6LA00672,67750.0,9184.16,58565.84,64250.0,3500.0
S6MI00517,53804.41,52499.8,1304.61,53648.08,0.0
S4VA00197,40468.14,30139.61,10328.53,34468.14,0.0
S6OR05218,48165.53,16107.71,32057.82,43656.03,4500.0
S8MN00578,48581.55,506058.16,270257.23,15204.03,23000.0
S6LA00698,5421.0,5278.13,142.87,26.0,0.0
S6KS00262,187436.34,149326.67,38109.67,83877.11,0.0
S6MI00509,1000.0,220.48,779.52,500.0,0.0
S6MI00426,8870471.26,5481553.31,3388917.95,6479180.53,564556.0
S6KY00211,266962.54,242098.61,24863.93,259292.03,2500.0
S6IL00458,4791273.46,4096025.84,695247.62,4518473.85,268083.99
S4AK00214,6500847.42,1505699.66,7086052.55,2531692.06,1398300.0
S6NH00190,99746.19,60149.95,39696.24,86646.19,0.0
S6NH00208,2475941.37,583037.19,1892904.18,1481875.38,308500.0
S6IL00409,17642.57,17458.64,-408.8,7732.57,310.0
S6TX00396,6991.29,6991.29,0.0,1209.36,0.0
S6AL00435,159035.37,153101.65,5933.72,143882.39,15000.0
S6MA00288,96091.67,66361.23,29730.44,95611.85,0.0
S6MN00556,2041939.86,186972.48,1854967.38,1758376.49,95000.0
S6TX00479,40284109.15,30425243.8,9858865.35,40089299.87,180158.24
S6MI00459,243635.76,243635.76,0.0,222028.21,6250.0
S6KS00296,72435.0,3801.94,68633.06,58934.83,10000.0
S6OK04163,39009.15,36270.6,3674.89,38959.22,0.0
S4NC00162,4707959.82,3268154.5,3677891.81,2636769.36,1483500.0
S6MS00158,8584.39,3029.82,0.0,1501.05,0.0
S6MS00141,8584.39,3029.82,0.0,1501.05,0.0
S6IL00615,2327334.3,783936.04,1543398.26,289688.26,2075.0
S0AL00230,724606.1,1165943.0,90993.57,366845.08,127500.0
S6IA00298,2808701.1,2051221.09,757480.01,2720569.74,87550.0
S6FL00855,8188391.6,1748269.11,6440222.49,8021891.6,166050.0
S6OH00346,4337.18,4168.88,168.3,4203.35,0.0
S6OH00353,4337.18,4168.88,168.3,4203.35,0.0
S6IA00272,3167670.76,2112265.12,1055405.64,3107863.11,55530.0
S6AL00468,2012949.2,2013628.2,-679.0,38626.03,0.0
S6VA00093,14719667.27,5667867.07,14605034.02,7701091.39,1778150.0
S6RI00262,0.0,345.26,1543.71,0.0,0.0
S6MN00515,105397.12,56432.5,50725.3,36708.0,0.0
S6FL00756,15933478.15,15933478.15,0.0,15463011.3,33908.17
S6KY00393,2431.4,2431.4,,0.0,0.0
S6AL00518,43693.21,42414.98,1278.23,3049.98,0.0
S6NC00415,8410251.85,5881909.26,2528342.59,3752923.06,732500.0
S6AL00393,17148.48,16759.0,389.48,17148.48,0.0
S6SC04247,14477.52,9835.45,4642.07,6338.61,0.0
S4MN00502,565894.4,622199.36,82803.72,536467.63,0.0
S0AR00218,353.29,36.27,2194.25,353.0,0.0
S6KY00336,350036.01,321249.37,28786.64,145036.01,5000.0
S6VA00200,50555.94,43964.19,6591.75,34446.0,0.0
S8NC00270,5656.28,5656.28,0.0,5656.28,0.0
S6WV00162,496222.44,439153.27,57069.17,124422.44,3500.0
S6CO00432,4545.0,3385.0,752.5,1545.0,0.0
S6MN00549,56206.07,45484.61,10721.46,51206.07,0.0
S6NJ00412,7378.78,1552.21,5826.57,5758.27,0.0
S6CO00465,4130.68,3034.9,1095.78,3990.0,0.0
